Frequency [Hz] - Voltage (FFT - (Peak))	Peak Magnitude [V] - Voltage (FFT - (Peak))	
4340	0.0114366	
4350	0.0219063	
4360	0.0146725	
4370	0.0197739	
4380	0.0375821	
4390	0.0284876	
4400	0.0176856	
4410	0.00836002	
4420	0.011173	
4430	0.000254423	
4440	0.0098785	
4450	0.00735894	
4460	0.0181221	
4470	0.0317275	
4480	0.0506385	
4490	0.0217975	
4500	0.0154329	
4510	0.0205961	
4520	0.00851064	
4530	0.0164995	
4540	0.0179943	
4550	0.0447948	
4560	0.0106689	
4570	0.015863	
4580	0.00915047	
4590	0.00600304	
4600	0.00990693	
4610	0.00414009	
4620	0.0196504	
4630	0.0111948	
4640	0.0606608	
4650	0.0114042	
4660	0.012584	
4670	0.0102235	
4680	0.00524714	
4690	0.0119458	
4700	0.00511818	
4710	0.0538065	
4720	0.00579332	
4730	0.020124	
4740	0.00527367	
4750	0.00981181	
4760	0.00794352	
4770	0.00776567	
4780	0.0175111	
4790	0.00731435	
4800	0.0558391	
4810	0.010869	
4820	0.0147627	
4830	0.00477876	
4840	0.0173937	
4850	0.0144338	
4860	0.0180366	
4870	0.0501826	
4880	0.0203164	
4890	0.0195438	
4900	0.00430807	
4910	0.0108007	
4920	0.00310363	
4930	0.010054	
4940	0.0114496	
4950	0.0152225	
4960	0.0397696	
4970	0.0337845	
4980	0.0204695	
4990	0.0135191	
