Frequency [Hz] - Voltage (FFT - (Peak))	Peak Magnitude [V] - Voltage (FFT - (Peak))	
4120	2.39491E-5	
4130	2.39278E-5	
4140	2.39067E-5	
4150	2.3886E-5	
4160	2.38655E-5	
4170	2.38453E-5	
4180	2.38253E-5	
4190	2.38056E-5	
4200	2.37862E-5	
4210	2.37671E-5	
4220	2.37482E-5	
4230	2.37296E-5	
4240	2.37112E-5	
4250	2.36932E-5	
4260	2.36753E-5	
4270	2.36578E-5	
4280	2.36405E-5	
4290	2.36234E-5	
4300	2.36067E-5	
4310	2.35901E-5	
4320	2.35739E-5	
4330	2.35579E-5	
4340	2.35421E-5	
4350	2.35266E-5	
4360	2.35114E-5	
4370	2.34964E-5	
4380	2.34816E-5	
4390	2.34671E-5	
4400	2.34529E-5	
4410	2.34389E-5	
4420	2.34251E-5	
4430	2.34117E-5	
4440	2.33984E-5	
4450	2.33854E-5	
4460	2.33726E-5	
4470	2.33601E-5	
4480	2.33479E-5	
4490	2.33358E-5	
4500	2.33241E-5	
4510	2.33125E-5	
4520	2.33012E-5	
4530	2.32902E-5	
4540	2.32794E-5	
4550	2.32688E-5	
4560	2.32585E-5	
4570	2.32484E-5	
4580	2.32385E-5	
4590	2.32289E-5	
4600	2.32195E-5	
4610	2.32104E-5	
4620	2.32015E-5	
4630	2.31928E-5	
4640	2.31844E-5	
4650	2.31762E-5	
4660	2.31683E-5	
4670	2.31606E-5	
4680	2.31531E-5	
4690	2.31458E-5	
4700	2.31388E-5	
4710	2.3132E-5	
4720	2.31255E-5	
4730	2.31191E-5	
4740	2.31131E-5	
4750	2.31072E-5	
4760	2.31016E-5	
4770	2.30962E-5	
4780	2.3091E-5	
4790	2.30861E-5	
4800	2.30814E-5	
4810	2.30769E-5	
4820	2.30727E-5	
4830	2.30687E-5	
4840	2.30649E-5	
4850	2.30614E-5	
4860	2.30581E-5	
4870	2.3055E-5	
4880	2.30521E-5	
4890	2.30495E-5	
4900	2.30471E-5	
4910	2.30449E-5	
4920	2.3043E-5	
4930	2.30413E-5	
4940	2.30398E-5	
4950	2.30385E-5	
4960	2.30375E-5	
4970	2.30367E-5	
4980	2.30361E-5	
4990	2.30358E-5	
