Time [s] - Voltage_0 (Filtered)	Amplitude [V] - Voltage_0 (Filtered)	
0.0425	0.000218625	
0.0426	0.000219772	
0.0427	0.000220869	
0.0428	0.000221912	
0.0429	0.000222898	
0.043	0.000223825	
0.0431	0.000224688	
0.0432	0.000225486	
0.0433	0.000226215	
0.0434	0.000226875	
0.0435	0.000227461	
0.0436	0.000227974	
0.0437	0.00022841	
0.0438	0.000228768	
0.0439	0.000229048	
0.044	0.000229247	
0.0441	0.000229366	
0.0442	0.000229403	
0.0443	0.000229359	
0.0444	0.000229233	
0.0445	0.000229026	
0.0446	0.000228737	
0.0447	0.000228368	
0.0448	0.00022792	
0.0449	0.000227393	
0.045	0.00022679	
0.0451	0.000226111	
0.0452	0.000225359	
0.0453	0.000224537	
0.0454	0.000223645	
0.0455	0.000222688	
0.0456	0.000221667	
0.0457	0.000220587	
0.0458	0.00021945	
0.0459	0.000218259	
0.046	0.00021702	
0.0461	0.000215734	
0.0462	0.000214408	
0.0463	0.000213044	
0.0464	0.000211647	
0.0465	0.000210221	
0.0466	0.000208772	
0.0467	0.000207304	
0.0468	0.000205822	
0.0469	0.000204331	
0.047	0.000202836	
0.0471	0.000201341	
0.0472	0.000199853	
0.0473	0.000198376	
0.0474	0.000196915	
0.0475	0.000195476	
0.0476	0.000194063	
0.0477	0.000192682	
0.0478	0.000191338	
0.0479	0.000190035	
0.048	0.000188779	
0.0481	0.000187575	
0.0482	0.000186426	
0.0483	0.000185338	
0.0484	0.000184315	
0.0485	0.000183361	
0.0486	0.00018248	
0.0487	0.000181676	
0.0488	0.000180953	
0.0489	0.000180314	
0.049	0.000179763	
0.0491	0.000179301	
0.0492	0.000178933	
0.0493	0.00017866	
0.0494	0.000178485	
0.0495	0.000178409	
0.0496	0.000178435	
0.0497	0.000178563	
0.0498	0.000178794	
0.0499	0.00017913	
0.05	0.000179571	
0.0501	0.000180116	
0.0502	0.000180766	
0.0503	0.00018152	
0.0504	0.000182378	
0.0505	0.000183337	
0.0506	0.000184398	
0.0507	0.000185557	
0.0508	0.000186813	
0.0509	0.000188164	
0.051	0.000189608	
0.0511	0.00019114	
0.0512	0.000192758	
0.0513	0.000194459	
0.0514	0.000196239	
0.0515	0.000198093	
0.0516	0.000200019	
0.0517	0.000202011	
0.0518	0.000204066	
0.0519	0.000206177	
0.052	0.000208341	
0.0521	0.000210552	
0.0522	0.000212806	
0.0523	0.000215096	
0.0524	0.000217418	
0.0525	0.000219766	
0.0526	0.000222135	
0.0527	0.000224518	
0.0528	0.000226911	
0.0529	0.000229307	
0.053	0.000231701	
0.0531	0.000234088	
