Frequency [Hz] - Voltage_0 (Power Spectrum)	Peak Magnitude [V] - Voltage_0 (Power Spectrum)	
3750	7.19366E-12	
3760	8.41451E-11	
3770	4.37835E-11	
3780	2.11274E-11	
3790	6.16247E-11	
3800	6.32936E-11	
3810	7.67635E-13	
3820	1.76136E-11	
3830	5.59272E-11	
3840	9.27944E-11	
3850	7.48374E-11	
3860	2.32961E-12	
3870	1.1939E-12	
3880	3.26216E-11	
3890	4.09409E-11	
3900	2.1244E-10	
3910	6.71639E-11	
3920	4.96291E-12	
3930	5.98866E-11	
3940	1.81711E-11	
3950	1.58498E-11	
3960	9.68628E-12	
3970	5.86183E-11	
3980	9.67768E-11	
3990	1.87342E-11	
4000	6.53709E-11	
4010	4.36088E-11	
4020	1.94617E-11	
4030	8.33541E-11	
4040	2.54124E-11	
4050	1.7084E-11	
4060	8.83139E-11	
4070	6.708E-11	
4080	1.72383E-10	
4090	3.81762E-11	
4100	5.78004E-11	
4110	1.85257E-11	
4120	1.85916E-11	
4130	3.2961E-11	
4140	2.66741E-12	
4150	3.42208E-12	
4160	2.66886E-11	
4170	4.08104E-11	
4180	7.58463E-11	
4190	1.79805E-11	
4200	3.31463E-12	
4210	2.11678E-11	
4220	1.02962E-11	
4230	7.01098E-11	
4240	6.43687E-11	
4250	7.98467E-11	
4260	9.89001E-11	
4270	1.07242E-10	
4280	4.6498E-12	
4290	3.66843E-12	
4300	8.98898E-11	
4310	1.31313E-10	
4320	1.83303E-10	
4330	7.72573E-12	
4340	1.48294E-10	
4350	1.01211E-10	
4360	7.19299E-11	
4370	3.55477E-11	
4380	3.43332E-11	
4390	1.91554E-11	
4400	1.35368E-10	
4410	4.91064E-11	
4420	9.37621E-11	
4430	3.3751E-11	
4440	3.97256E-11	
4450	3.83516E-12	
4460	4.147E-12	
4470	3.58954E-11	
4480	1.36683E-10	
4490	4.8936E-11	
4500	7.65091E-11	
4510	1.06192E-12	
4520	2.71136E-11	
4530	2.70683E-11	
4540	1.53998E-11	
4550	1.43653E-12	
4560	1.85336E-11	
4570	1.29335E-11	
4580	7.64561E-11	
4590	1.35802E-11	
4600	1.8297E-10	
4610	3.43697E-11	
4620	2.72774E-11	
4630	1.69056E-12	
4640	1.66898E-10	
4650	1.0572E-10	
4660	2.28456E-12	
4670	1.12496E-10	
4680	1.22212E-11	
4690	1.79432E-11	
4700	8.9916E-12	
4710	4.6394E-11	
4720	3.52457E-11	
4730	5.70965E-11	
4740	3.26708E-11	
4750	7.16271E-12	
4760	3.41492E-11	
4770	4.84051E-12	
4780	1.28576E-10	
4790	4.64615E-11	
4800	7.06E-11	
4810	1.31209E-10	
4820	2.63526E-11	
4830	3.64947E-11	
4840	2.37507E-11	
4850	8.80958E-12	
4860	1.47828E-10	
4870	1.22465E-11	
4880	9.39948E-12	
4890	6.58338E-11	
4900	4.5747E-11	
4910	1.87207E-10	
4920	1.0563E-11	
4930	2.64259E-12	
4940	7.29564E-12	
4950	3.70379E-11	
4960	8.96038E-12	
4970	1.47384E-11	
4980	8.93839E-11	
4990	2.10534E-10	
