Time[s] - Voltage	Amplitude [V] - Voltage	
0.0448	-0.327903	
0.0449	-0.659977	
0.045	-0.994005	
0.0451	-1.32575	
0.0452	-1.65913	
0.0453	-1.99348	
0.0454	-2.32621	
0.0455	-2.65991	
0.0456	-2.54553	
0.0457	-2.20889	
0.0458	-1.87389	
0.0459	-1.5379	
0.046	-1.20485	
0.0461	-0.869844	
0.0462	-0.535816	
0.0463	-0.201461	
0.0464	0.133871	
0.0465	0.467248	
0.0466	0.801276	
0.0467	1.13563	
0.0468	1.47064	
0.0469	1.80564	
0.047	2.1426	
0.0471	2.47794	
0.0472	2.74842	
0.0473	2.41211	
0.0474	2.07775	
0.0475	1.7434	
0.0476	1.40839	
0.0477	1.07469	
0.0478	0.740988	
0.0479	0.408589	
0.048	0.0765157	
0.0481	-0.257513	
0.0482	-0.589912	
0.0483	-0.922311	
0.0484	-1.25504	
0.0485	-1.58841	
0.0486	-1.92146	
0.0487	-2.25517	
0.0488	-2.58757	
0.0489	-2.61787	
0.049	-2.28254	
0.0491	-1.94591	
0.0492	-1.61188	
0.0493	-1.2772	
0.0494	-0.94219	
0.0495	-0.608487	
0.0496	-0.273807	
0.0497	0.0589181	
0.0498	0.393598	
0.0499	0.728605	
0.05	1.06361	
0.0501	1.39764	
0.0502	1.73297	
0.0503	2.06928	
0.0504	2.40461	
0.0505	2.74027	
0.0506	2.48641	
0.0507	2.15108	
0.0508	1.81575	
0.0509	1.48172	
0.051	1.14867	
0.0511	0.813986	
0.0512	0.481261	
0.0513	0.148535	
0.0514	-0.184841	
0.0515	-0.517566	
0.0516	-0.84964	
0.0517	-1.18106	
0.0518	-1.51509	
0.0519	-1.84912	
0.052	-2.18184	
0.0521	-2.51555	
0.0522	-2.69152	
0.0523	-2.35456	
0.0524	-2.01955	
0.0525	-1.68487	
0.0526	-1.34922	
0.0527	-1.01486	
0.0528	-0.682137	
0.0529	-0.346804	
0.053	-0.0131018	
0.0531	0.321579	
0.0532	0.656259	
0.0533	0.990613	
0.0534	1.32562	
0.0535	1.66063	
0.0536	1.99694	
0.0537	2.33194	
0.0538	2.66825	
0.0539	2.55908	
0.054	2.2231	
0.0541	1.88809	
0.0542	1.55406	
0.0543	1.22036	
0.0544	0.886983	
0.0545	0.55328	
0.0546	0.220229	
0.0547	-0.111192	
0.0548	-0.444895	
0.0549	-0.776968	
0.055	-1.11034	
0.0551	-1.44372	
0.0552	-1.77645	
0.0553	-2.10982	
0.0554	-2.44222	
0.0555	-2.76582	
0.0556	-2.42788	
0.0557	-2.09223	
0.0558	-1.75755	
0.0559	-1.42254	
0.056	-1.08884	
0.0561	-0.754156	
0.0562	-0.419476	
0.0563	-0.0857733	
0.0564	0.248907	
0.0565	0.582936	
0.0566	0.918919	
0.0567	1.25099	
0.0568	1.58698	
0.0569	1.92263	
0.057	2.25862	
0.0571	2.5946	
0.0572	2.63371	
0.0573	2.29772	
0.0574	1.96239	
0.0575	1.62771	
0.0576	1.29303	
0.0577	0.959655	
0.0578	0.627581	
0.0579	0.293879	
0.058	-0.0381946	
0.0581	-0.371571	
0.0582	-0.703971	
0.0583	-1.03702	
0.0584	-1.36975	
0.0585	-1.7028	
0.0586	-2.03552	
0.0587	-2.36825	
0.0588	-2.70195	
0.0589	-2.50088	
0.059	-2.16522	
0.0591	-1.83022	
0.0592	-1.49586	
0.0593	-1.16118	
0.0594	-0.826828	
0.0595	-0.493125	
0.0596	-0.159423	
0.0597	0.175584	
0.0598	0.509286	
0.0599	0.843967	
0.06	1.17897	
0.0601	1.51398	
