Time [s] - Voltage_0 (Filtered)	Amplitude [V] - Voltage_0 (Filtered)	
0.0559	0.000294021	
0.056	0.000293948	
0.0561	0.00029381	
0.0562	0.000293607	
0.0563	0.000293339	
0.0564	0.000293007	
0.0565	0.000292612	
0.0566	0.000292155	
0.0567	0.000291636	
0.0568	0.000291058	
0.0569	0.000290421	
0.057	0.000289728	
0.0571	0.00028898	
0.0572	0.000288179	
0.0573	0.000287328	
0.0574	0.00028643	
0.0575	0.000285485	
0.0576	0.000284498	
0.0577	0.000283471	
0.0578	0.000282407	
0.0579	0.000281309	
0.058	0.00028018	
0.0581	0.000279023	
0.0582	0.000277841	
0.0583	0.000276637	
0.0584	0.000275416	
0.0585	0.000274179	
0.0586	0.000272931	
0.0587	0.000271674	
0.0588	0.000270412	
0.0589	0.000269149	
0.059	0.000267887	
0.0591	0.00026663	
0.0592	0.000265381	
0.0593	0.000264143	
0.0594	0.000262919	
0.0595	0.000261712	
0.0596	0.000260525	
0.0597	0.000259361	
0.0598	0.000258222	
0.0599	0.000257111	
0.06	0.00025603	
0.0601	0.000254982	
0.0602	0.000253969	
0.0603	0.000252992	
0.0604	0.000252054	
0.0605	0.000251157	
0.0606	0.000250302	
0.0607	0.00024949	
0.0608	0.000248723	
0.0609	0.000248002	
0.061	0.000247328	
0.0611	0.000246701	
0.0612	0.000246123	
0.0613	0.000245593	
0.0614	0.000245113	
0.0615	0.000244682	
0.0616	0.0002443	
0.0617	0.000243966	
0.0618	0.000243682	
0.0619	0.000243445	
0.062	0.000243256	
0.0621	0.000243114	
0.0622	0.000243017	
0.0623	0.000242964	
0.0624	0.000242955	
0.0625	0.000242987	
0.0626	0.00024306	
0.0627	0.000243171	
0.0628	0.000243319	
0.0629	0.000243502	
0.063	0.000243718	
0.0631	0.000243966	
0.0632	0.000244241	
0.0633	0.000244544	
0.0634	0.000244871	
0.0635	0.000245219	
0.0636	0.000245588	
0.0637	0.000245973	
0.0638	0.000246373	
0.0639	0.000246786	
0.064	0.000247208	
0.0641	0.000247637	
0.0642	0.000248071	
0.0643	0.000248508	
0.0644	0.000248944	
0.0645	0.000249378	
0.0646	0.000249808	
0.0647	0.00025023	
0.0648	0.000250643	
0.0649	0.000251045	
0.065	0.000251433	
0.0651	0.000251806	
0.0652	0.000252162	
0.0653	0.000252499	
0.0654	0.000252815	
0.0655	0.000253109	
0.0656	0.000253379	
0.0657	0.000253625	
0.0658	0.000253844	
0.0659	0.000254036	
0.066	0.0002542	
0.0661	0.000254334	
0.0662	0.00025444	
0.0663	0.000254515	
0.0664	0.000254559	
0.0665	0.000254573	
0.0666	0.000254556	
