Frequency [Hz] - Voltage_0 (FFT - (Peak))	Peak Magnitude [V] - Voltage_0 (FFT - (Peak))	
4080	1.65859E-8	
4090	1.65705E-8	
4100	1.65552E-8	
4110	1.65402E-8	
4120	1.65253E-8	
4130	1.65107E-8	
4140	1.64962E-8	
4150	1.64819E-8	
4160	1.64678E-8	
4170	1.64539E-8	
4180	1.64401E-8	
4190	1.64266E-8	
4200	1.64132E-8	
4210	1.64E-8	
4220	1.63871E-8	
4230	1.63742E-8	
4240	1.63616E-8	
4250	1.63492E-8	
4260	1.63369E-8	
4270	1.63248E-8	
4280	1.63129E-8	
4290	1.63012E-8	
4300	1.62896E-8	
4310	1.62782E-8	
4320	1.6267E-8	
4330	1.6256E-8	
4340	1.62451E-8	
4350	1.62345E-8	
4360	1.6224E-8	
4370	1.62137E-8	
4380	1.62035E-8	
4390	1.61935E-8	
4400	1.61837E-8	
4410	1.61741E-8	
4420	1.61646E-8	
4430	1.61553E-8	
4440	1.61462E-8	
4450	1.61372E-8	
4460	1.61285E-8	
4470	1.61198E-8	
4480	1.61114E-8	
4490	1.61031E-8	
4500	1.6095E-8	
4510	1.60871E-8	
4520	1.60793E-8	
4530	1.60717E-8	
4540	1.60642E-8	
4550	1.6057E-8	
4560	1.60498E-8	
4570	1.60429E-8	
4580	1.60361E-8	
4590	1.60295E-8	
4600	1.6023E-8	
4610	1.60168E-8	
4620	1.60106E-8	
4630	1.60047E-8	
4640	1.59989E-8	
4650	1.59932E-8	
4660	1.59877E-8	
4670	1.59824E-8	
4680	1.59773E-8	
4690	1.59723E-8	
4700	1.59674E-8	
4710	1.59628E-8	
4720	1.59583E-8	
4730	1.59539E-8	
4740	1.59497E-8	
4750	1.59457E-8	
4760	1.59418E-8	
4770	1.59381E-8	
4780	1.59345E-8	
4790	1.59312E-8	
4800	1.59279E-8	
4810	1.59248E-8	
4820	1.59219E-8	
4830	1.59192E-8	
4840	1.59166E-8	
4850	1.59141E-8	
4860	1.59118E-8	
4870	1.59097E-8	
4880	1.59077E-8	
4890	1.59059E-8	
4900	1.59043E-8	
4910	1.59028E-8	
4920	1.59015E-8	
4930	1.59003E-8	
4940	1.58992E-8	
4950	1.58984E-8	
4960	1.58977E-8	
4970	1.58971E-8	
4980	1.58967E-8	
4990	1.58965E-8	
