Time[s] - Voltage	Amplitude [V] - Voltage	
0.0384	-2.77071	
0.0385	-2.77039	
0.0386	-2.77006	
0.0387	-2.77071	
0.0388	-2.77039	
0.0389	-2.77071	
0.039	2.79567	
0.0391	2.79274	
0.0392	2.78981	
0.0393	2.78981	
0.0394	2.78883	
0.0395	2.78818	
0.0396	2.78883	
0.0397	2.78785	
0.0398	2.78752	
0.0399	2.78752	
0.04	2.78818	
0.0401	2.78752	
0.0402	2.78818	
0.0403	2.78752	
0.0404	2.7885	
0.0405	2.78883	
0.0406	2.7885	
0.0407	2.78785	
0.0408	2.78752	
0.0409	2.78818	
0.041	2.78818	
0.0411	2.78948	
0.0412	2.78948	
0.0413	2.78785	
0.0414	2.7885	
0.0415	2.78818	
0.0416	2.78883	
0.0417	2.7885	
0.0418	2.78785	
0.0419	2.78948	
0.042	2.7885	
0.0421	2.78557	
0.0422	2.78752	
0.0423	2.78915	
0.0424	2.78785	
0.0425	2.7885	
0.0426	2.7885	
0.0427	2.78785	
0.0428	2.78915	
0.0429	2.78883	
0.043	2.78883	
0.0431	2.78785	
0.0432	2.78948	
0.0433	2.7885	
0.0434	2.78818	
0.0435	2.78818	
0.0436	2.78883	
0.0437	2.78883	
0.0438	2.78883	
0.0439	2.79013	
0.044	2.78948	
0.0441	2.78981	
0.0442	2.78883	
0.0443	2.78948	
0.0444	2.78883	
0.0445	2.78915	
0.0446	2.78883	
0.0447	2.78883	
0.0448	2.78948	
0.0449	2.78883	
0.045	2.79078	
0.0451	2.78981	
0.0452	-2.77364	
0.0453	-2.7743	
0.0454	-2.77267	
0.0455	-2.77006	
0.0456	-2.77071	
0.0457	-2.76843	
0.0458	-2.77006	
0.0459	-2.76973	
0.046	-2.76908	
0.0461	-2.76908	
0.0462	-2.76908	
0.0463	-2.76941	
0.0464	-2.76745	
0.0465	-2.76908	
0.0466	-2.76973	
0.0467	-2.77006	
0.0468	-2.76973	
0.0469	-2.76973	
0.047	-2.76941	
0.0471	-2.76973	
0.0472	-2.76843	
0.0473	-2.76843	
0.0474	-2.77039	
0.0475	-2.76973	
0.0476	-2.76973	
0.0477	-2.76973	
0.0478	-2.76973	
0.0479	-2.76941	
0.048	-2.76973	
0.0481	-2.76908	
0.0482	-2.77006	
0.0483	-2.76973	
0.0484	-2.76973	
0.0485	-2.77006	
0.0486	-2.76973	
0.0487	-2.77039	
0.0488	-2.77104	
0.0489	-2.76973	
0.049	-2.77039	
0.0491	-2.77006	
0.0492	-2.76876	
0.0493	-2.77039	
0.0494	-2.77006	
0.0495	-2.76941	
0.0496	-2.77006	
0.0497	-2.77006	
0.0498	-2.77006	
0.0499	-2.76973	
0.05	-2.77169	
0.0501	-2.77136	
0.0502	-2.77006	
0.0503	-2.77006	
0.0504	-2.76973	
0.0505	-2.76973	
0.0506	-2.77071	
0.0507	-2.77006	
0.0508	-2.77006	
0.0509	-2.77006	
0.051	-2.77136	
0.0511	-2.76908	
0.0512	-2.77006	
0.0513	2.79567	
0.0514	2.79143	
0.0515	2.79013	
0.0516	2.78948	
0.0517	2.78785	
0.0518	2.78818	
0.0519	2.78818	
0.052	2.78785	
0.0521	2.7885	
0.0522	2.78752	
0.0523	2.78818	
0.0524	2.78785	
0.0525	2.7885	
0.0526	2.78785	
0.0527	2.7885	
0.0528	2.78948	
0.0529	2.78818	
0.053	2.78752	
0.0531	2.78883	
0.0532	2.78915	
0.0533	2.78818	
0.0534	2.78818	
0.0535	2.78818	
0.0536	2.7885	
0.0537	2.7885	
0.0538	2.7885	
0.0539	2.7885	
0.054	2.7885	
0.0541	2.78752	
0.0542	2.7885	
0.0543	2.78883	
0.0544	2.78752	
0.0545	2.78915	
0.0546	2.7885	
0.0547	2.78948	
0.0548	2.7872	
0.0549	2.78981	
0.055	2.78883	
0.0551	2.78948	
0.0552	2.78915	
0.0553	2.78785	
0.0554	2.78818	
0.0555	2.7885	
0.0556	2.78883	
0.0557	2.78883	
0.0558	2.78948	
0.0559	2.78818	
0.056	2.78883	
0.0561	2.78948	
0.0562	2.7885	
0.0563	2.78915	
0.0564	2.78785	
0.0565	2.7885	
0.0566	2.78883	
0.0567	2.79013	
0.0568	2.78883	
0.0569	2.78948	
0.057	2.7885	
0.0571	2.78883	
0.0572	2.78915	
