Frequency (Hz) - Left Channel (Power Spectrum)	Amplitude - Left Channel (Power Spectrum)	Frequency (Hz) - Right Channel (Power Spectrum)	Amplitude - Right Channel (Power Spectrum)	
578.666667	2.31304E-6	578.666667	2.82805E-6	
581.333333	7.56564E-6	581.333333	1.0186E-5	
584	2.34164E-6	584	1.53891E-5	
586.666667	5.73594E-6	586.666667	5.26517E-7	
589.333333	5.88621E-6	589.333333	5.13962E-6	
592	1.07994E-6	592	4.47044E-6	
594.666667	1.90065E-6	594.666667	1.27908E-6	
597.333333	3.50634E-7	597.333333	1.26268E-6	
600	8.06452E-7	600	4.83589E-7	
602.666667	1.33771E-6	602.666667	1.79102E-6	
605.333333	1.40259E-6	605.333333	9.47455E-7	
608	2.34164E-8	608	9.52315E-7	
610.666667	8.2905E-7	610.666667	1.09393E-6	
613.333333	4.06005E-8	613.333333	8.32006E-7	
616	6.93494E-8	616	9.50992E-9	
618.666667	4.10167E-9	618.666667	2.83614E-8	
621.333333	1.78968E-9	621.333333	1.14147E-8	
624	1.36924E-6	624	7.58556E-7	
626.666667	1.70318E-7	626.666667	2.36253E-6	
629.333333	6.02735E-6	629.333333	3.55887E-6	
632	8.87995E-7	632	7.12874E-7	
634.666667	2.68525E-6	634.666667	4.64465E-8	
637.333333	1.03344E-6	637.333333	2.27862E-7	
640	1.10035E-6	640	3.62062E-7	
642.666667	1.41742E-7	642.666667	2.61234E-7	
645.333333	1.39667E-6	645.333333	4.4846E-9	
648	2.73192E-7	648	9.88065E-9	
650.666667	9.62515E-7	650.666667	3.66969E-7	
653.333333	2.88963E-8	653.333333	9.0182E-7	
656	9.00562E-6	656	2.82228E-6	
658.666667	5.02416E-6	658.666667	1.97129E-6	
661.333333	2.25428E-5	661.333333	2.32703E-7	
664	2.52444E-6	664	3.55485E-6	
666.666667	1.21449E-5	666.666667	3.15126E-6	
669.333333	3.38291E-7	669.333333	1.81617E-6	
672	7.06852E-8	672	3.09202E-8	
674.666667	3.26322E-7	674.666667	9.38792E-8	
677.333333	2.04852E-7	677.333333	4.96175E-7	
680	1.29271E-6	680	5.39741E-7	
682.666667	2.0768E-7	682.666667	3.35677E-7	
685.333333	2.43654E-8	685.333333	4.46365E-7	
688	5.25737E-7	688	3.83045E-7	
690.666667	1.4291E-6	690.666667	4.57689E-7	
693.333333	6.87012E-7	693.333333	5.76006E-7	
696	2.75727E-7	696	7.5477E-7	
698.666667	6.27461E-8	698.666667	2.39765E-7	
701.333333	2.24114E-7	701.333333	1.97626E-7	
704	1.51959E-7	704	4.68528E-7	
706.666667	1.77589E-8	706.666667	1.32945E-6	
709.333333	3.8434E-8	709.333333	1.11649E-6	
712	1.85327E-7	712	2.35264E-7	
714.666667	2.37597E-8	714.666667	1.16339E-6	
717.333333	3.47486E-8	717.333333	1.24208E-6	
720	4.09672E-7	720	4.01142E-7	
722.666667	1.01336E-7	722.666667	2.01066E-6	
725.333333	7.72486E-8	725.333333	5.20814E-7	
728	4.77412E-9	728	8.84843E-8	
730.666667	2.39426E-7	730.666667	1.49832E-8	
733.333333	1.21123E-7	733.333333	3.44146E-7	
736	6.41872E-7	736	1.32601E-6	
738.666667	9.93761E-7	738.666667	1.08938E-5	
741.333333	3.34814E-6	741.333333	1.26875E-6	
744	3.26377E-6	744	2.85203E-6	
746.666667	1.39846E-6	746.666667	2.54527E-6	
749.333333	1.39506E-6	749.333333	4.8998E-7	
752	5.38265E-8	752	1.04137E-6	
754.666667	1.90884E-7	754.666667	8.36411E-9	
757.333333	3.0337E-7	757.333333	1.06619E-7	
760	2.36667E-7	760	8.17794E-7	
762.666667	1.39605E-7	762.666667	1.74083E-7	
765.333333	7.66789E-8	765.333333	7.80437E-8	
768	8.40877E-8	768	2.82635E-8	
770.666667	6.95935E-7	770.666667	1.13422E-8	
773.333333	5.36681E-7	773.333333	9.00538E-8	
776	9.89344E-7	776	3.60309E-7	
778.666667	8.66414E-7	778.666667	1.90083E-7	
781.333333	7.11291E-7	781.333333	7.9716E-7	
784	1.79418E-7	784	3.95925E-8	
786.666667	2.64426E-6	786.666667	1.12114E-6	
789.333333	7.82013E-7	789.333333	2.90256E-7	
792	2.69266E-7	792	3.43006E-7	
794.666667	4.1838E-6	794.666667	4.73187E-7	
797.333333	3.52547E-6	797.333333	2.15257E-6	
800	5.46079E-6	800	2.58337E-7	
802.666667	8.22692E-6	802.666667	4.70512E-7	
805.333333	1.28274E-7	805.333333	6.48244E-7	
808	4.98996E-6	808	3.17794E-6	
810.666667	4.26277E-6	810.666667	3.41049E-6	
813.333333	7.30478E-6	813.333333	5.02835E-7	
816	1.1911E-6	816	2.04753E-6	
818.666667	1.84379E-6	818.666667	7.96923E-6	
821.333333	3.96473E-6	821.333333	1.22475E-5	
824	7.4313E-7	824	1.13393E-5	
826.666667	1.13074E-5	826.666667	1.01347E-5	
829.333333	7.84278E-6	829.333333	5.86537E-6	
832	1.2171E-6	832	1.06031E-5	
834.666667	1.36381E-5	834.666667	1.2921E-5	
837.333333	1.94769E-5	837.333333	1.08289E-5	
840	6.17643E-6	840	3.99566E-5	
842.666667	2.65049E-5	842.666667	7.65563E-5	
845.333333	7.38872E-7	845.333333	9.61379E-6	
848	3.36996E-6	848	1.17963E-5	
850.666667	5.40432E-6	850.666667	9.35915E-6	
853.333333	6.18315E-6	853.333333	1.64828E-6	
856	7.40653E-6	856	1.57859E-6	
858.666667	1.05056E-6	858.666667	5.66711E-6	
861.333333	8.78763E-7	861.333333	9.07404E-7	
864	4.5433E-7	864	4.20417E-6	
866.666667	3.39345E-6	866.666667	4.82939E-6	
869.333333	1.1339E-6	869.333333	2.11079E-6	
872	1.50349E-7	872	1.68516E-6	
874.666667	1.01009E-6	874.666667	4.05531E-6	
877.333333	2.8888E-8	877.333333	8.98721E-7	
880	5.62882E-8	880	6.89748E-7	
882.666667	9.82748E-8	882.666667	2.30294E-7	
885.333333	5.4795E-8	885.333333	8.08831E-7	
888	1.44829E-7	888	7.81027E-7	
890.666667	2.1983E-8	890.666667	5.54439E-8	
893.333333	2.16323E-7	893.333333	1.78758E-7	
896	2.90284E-8	896	5.48748E-9	
898.666667	4.44431E-7	898.666667	9.46146E-8	
901.333333	2.60565E-7	901.333333	1.7204E-7	
904	2.21461E-7	904	4.10685E-7	
906.666667	1.48393E-7	906.666667	2.1132E-8	
909.333333	1.09117E-7	909.333333	7.89564E-7	
912	6.79386E-7	912	1.30952E-7	
914.666667	4.10648E-7	914.666667	4.99923E-7	
917.333333	3.78986E-8	917.333333	1.92989E-7	
920	7.99009E-9	920	2.71597E-7	
922.666667	1.71866E-7	922.666667	4.82001E-8	
925.333333	8.52253E-8	925.333333	5.28271E-9	
928	5.92291E-8	928	5.91961E-8	
930.666667	1.07988E-10	930.666667	1.25502E-8	
933.333333	9.44173E-8	933.333333	8.30825E-8	
936	2.47734E-7	936	6.77979E-8	
938.666667	1.00777E-7	938.666667	3.92092E-7	
941.333333	2.23386E-7	941.333333	5.88944E-7	
944	7.29956E-7	944	1.52117E-6	
946.666667	8.03707E-7	946.666667	7.32481E-7	
949.333333	1.38187E-7	949.333333	2.02894E-7	
952	2.68396E-7	952	9.72072E-8	
954.666667	1.70609E-8	954.666667	4.75006E-8	
957.333333	6.14138E-8	957.333333	6.79275E-8	
960	1.38084E-8	960	1.27569E-8	
962.666667	1.00629E-7	962.666667	7.5286E-10	
965.333333	2.61755E-7	965.333333	3.54712E-7	
968	7.45949E-8	968	1.38518E-7	
970.666667	1.18776E-8	970.666667	2.51608E-7	
973.333333	6.62134E-8	973.333333	5.36966E-8	
976	2.51561E-7	976	1.99529E-7	
978.666667	3.43067E-7	978.666667	6.21154E-7	
981.333333	7.73355E-9	981.333333	2.6417E-8	
984	4.53814E-6	984	2.35373E-7	
986.666667	5.17022E-6	986.666667	3.54676E-6	
989.333333	1.44683E-5	989.333333	1.32291E-6	
992	1.17755E-6	992	6.0689E-7	
994.666667	2.35756E-6	994.666667	7.94118E-7	
997.333333	2.70673E-7	997.333333	1.12734E-7	
1000	1.44294E-7	1000	3.65966E-7	
1002.666667	1.93863E-7	1002.666667	3.69209E-7	
1005.333333	1.29241E-7	1005.333333	1.17452E-7	
1008	2.76745E-8	1008	1.30397E-7	
1010.666667	2.85011E-7	1010.666667	2.69212E-7	
1013.333333	2.12313E-7	1013.333333	3.60756E-7	
1016	1.38391E-7	1016	7.86352E-8	
1018.666667	8.16325E-8	1018.666667	3.6149E-7	
1021.333333	5.69917E-8	1021.333333	1.3509E-6	
1024	1.42166E-8	1024	5.65513E-7	
1026.666667	4.55244E-8	1026.666667	8.44897E-9	
1029.333333	7.83904E-8	1029.333333	2.112E-8	
1032	2.74247E-7	1032	3.22937E-7	
1034.666667	1.84262E-7	1034.666667	1.94924E-7	
1037.333333	6.68783E-8	1037.333333	2.88569E-7	
1040	1.30811E-7	1040	3.59087E-8	
1042.666667	5.56043E-8	1042.666667	1.43708E-7	
1045.333333	6.71897E-7	1045.333333	5.33832E-8	
1048	1.78158E-7	1048	5.22878E-7	
1050.666667	2.94739E-6	1050.666667	2.26691E-7	
1053.333333	3.17589E-7	1053.333333	4.54914E-7	
1056	2.45061E-6	1056	4.56508E-7	
1058.666667	6.49343E-6	1058.666667	2.26169E-6	
1061.333333	4.37791E-7	1061.333333	1.92192E-8	
1064	4.87213E-6	1064	9.78795E-7	
1066.666667	5.21094E-6	1066.666667	9.50967E-7	
1069.333333	4.03511E-6	1069.333333	8.36295E-7	
1072	7.57046E-7	1072	5.4841E-7	
1074.666667	6.95983E-6	1074.666667	6.11139E-7	
1077.333333	3.45321E-6	1077.333333	1.42963E-7	
1080	5.33358E-7	1080	1.98593E-6	
1082.666667	4.22212E-6	1082.666667	1.11837E-6	
1085.333333	5.41394E-6	1085.333333	5.22402E-6	
1088	2.14154E-6	1088	2.43213E-6	
1090.666667	6.39383E-6	1090.666667	4.7559E-6	
1093.333333	7.43029E-6	1093.333333	3.37193E-6	
1096	3.97198E-6	1096	5.81497E-6	
1098.666667	3.57801E-6	1098.666667	1.76123E-6	
1101.333333	1.43018E-6	1101.333333	2.55226E-6	
1104	1.22578E-6	1104	9.94531E-7	
1106.666667	2.27503E-6	1106.666667	5.9293E-7	
1109.333333	3.92716E-7	1109.333333	2.26242E-6	
1112	5.08416E-6	1112	1.85572E-6	
1114.666667	1.19512E-7	1114.666667	4.49611E-7	
1117.333333	1.9385E-6	1117.333333	9.68338E-6	
1120	3.04656E-7	1120	6.18184E-7	
1122.666667	1.62175E-8	1122.666667	1.02906E-5	
1125.333333	4.29226E-7	1125.333333	1.54757E-6	
1128	1.43198E-6	1128	2.67628E-6	
1130.666667	2.5712E-7	1130.666667	9.17314E-7	
1133.333333	7.50019E-8	1133.333333	5.49337E-6	
1136	1.82379E-6	1136	1.59008E-5	
1138.666667	1.95212E-6	1138.666667	1.97524E-6	
1141.333333	1.2289E-6	1141.333333	4.51265E-6	
1144	2.14436E-7	1144	2.2631E-6	
1146.666667	1.04464E-6	1146.666667	2.62097E-6	
1149.333333	4.44987E-7	1149.333333	4.22745E-6	
1152	5.21064E-7	1152	2.06643E-7	
1154.666667	4.72556E-7	1154.666667	2.83022E-6	
1157.333333	1.07902E-7	1157.333333	1.5405E-6	
1160	3.27563E-8	1160	1.17145E-6	
1162.666667	1.42282E-7	1162.666667	4.90987E-7	
1165.333333	2.31895E-8	1165.333333	1.75352E-6	
1168	1.89746E-8	1168	1.12414E-6	
1170.666667	2.06565E-8	1170.666667	5.13361E-7	
1173.333333	1.0584E-7	1173.333333	8.9093E-7	
1176	3.88877E-8	1176	5.89659E-7	
1178.666667	8.05275E-8	1178.666667	2.01153E-9	
1181.333333	3.08593E-9	1181.333333	7.46924E-7	
1184	5.34418E-8	1184	5.55848E-7	
1186.666667	1.41517E-8	1186.666667	5.66098E-8	
1189.333333	2.02385E-8	1189.333333	5.21047E-8	
1192	2.23692E-8	1192	2.03526E-7	
1194.666667	2.6313E-9	1194.666667	3.84687E-9	
1197.333333	7.84833E-8	1197.333333	1.47046E-7	
1200	1.70345E-7	1200	4.61395E-9	
1202.666667	7.96129E-8	1202.666667	6.68666E-9	
1205.333333	3.78368E-8	1205.333333	2.53232E-8	
1208	1.04283E-7	1208	2.157E-8	
1210.666667	9.01865E-8	1210.666667	3.70451E-8	
1213.333333	2.10822E-7	1213.333333	4.21887E-8	
1216	2.27629E-7	1216	8.48133E-8	
1218.666667	1.38634E-7	1218.666667	4.71537E-8	
1221.333333	1.2935E-7	1221.333333	6.72467E-8	
1224	3.76809E-8	1224	1.73824E-8	
1226.666667	1.89876E-8	1226.666667	1.42663E-8	
1229.333333	1.27127E-7	1229.333333	3.08619E-7	
1232	2.44034E-7	1232	8.30789E-9	
1234.666667	1.30671E-6	1234.666667	1.34662E-7	
1237.333333	9.15583E-7	1237.333333	1.88552E-6	
1240	1.76277E-7	1240	2.41103E-7	
1242.666667	1.90857E-7	1242.666667	7.80363E-7	
1245.333333	2.39529E-7	1245.333333	1.61624E-7	
1248	1.85429E-7	1248	5.97186E-7	
1250.666667	5.16332E-7	1250.666667	9.32493E-8	
1253.333333	2.26212E-7	1253.333333	3.86444E-7	
1256	3.04442E-8	1256	1.97257E-7	
1258.666667	3.75105E-8	1258.666667	1.62141E-7	
1261.333333	8.47909E-8	1261.333333	4.16828E-8	
1264	4.37889E-7	1264	2.55803E-8	
1266.666667	2.26864E-7	1266.666667	1.26851E-9	
1269.333333	4.24135E-8	1269.333333	9.30448E-8	
1272	3.05484E-8	1272	1.46534E-7	
1274.666667	8.32085E-8	1274.666667	4.25229E-8	
1277.333333	1.14968E-9	1277.333333	4.57407E-8	
1280	1.8514E-8	1280	3.8284E-8	
1282.666667	2.61325E-8	1282.666667	3.22894E-7	
1285.333333	6.82891E-8	1285.333333	1.02225E-7	
1288	1.78278E-8	1288	5.83351E-8	
