Time[s] - Voltage_0	Amplitude [V] - Voltage_0	
0.0174	-5.72567E-5	
0.0175	0.000147575	
0.0176	0.000147575	
0.0177	-0.000193811	
0.0178	0.000420683	
0.0179	0.000215852	
0.018	0.000420683	
0.0181	0.000693791	
0.0182	0.000215852	
0.0183	0.00048896	
0.0184	1.10204E-5	
0.0185	0.000147575	
0.0186	0.000420683	
0.0187	0.000762068	
0.0188	0.000147575	
0.0189	0.000215852	
0.019	1.10204E-5	
0.0191	-0.000125534	
0.0192	0.000147575	
0.0193	0.000215852	
0.0194	0.000557237	
0.0195	7.92975E-5	
0.0196	7.92975E-5	
0.0197	7.92975E-5	
0.0198	1.10204E-5	
0.0199	-5.72567E-5	
0.02	0.000147575	
0.0201	0.000557237	
0.0202	7.92975E-5	
0.0203	0.000147575	
0.0204	7.92975E-5	
0.0205	0.000420683	
0.0206	0.000215852	
0.0207	0.000693791	
0.0208	0.000284129	
0.0209	0.000147575	
0.021	0.000215852	
0.0211	0.000420683	
0.0212	0.000352406	
0.0213	0.000420683	
0.0214	0.000147575	
0.0215	0.000352406	
0.0216	1.10204E-5	
0.0217	0.000557237	
0.0218	0.000284129	
0.0219	0.000284129	
0.022	0.000147575	
0.0221	0.000147575	
0.0222	-0.000125534	
0.0223	0.000215852	
0.0224	0.000420683	
0.0225	0.000352406	
0.0226	0.000420683	
0.0227	0.000147575	
0.0228	0.000557237	
0.0229	0.000420683	
0.023	0.000420683	
0.0231	0.000215852	
0.0232	0.000284129	
0.0233	0.00048896	
0.0234	0.000420683	
0.0235	0.000147575	
0.0236	0.000352406	
0.0237	0.000420683	
0.0238	0.000420683	
0.0239	0.000352406	
0.024	0.00048896	
0.0241	-0.000262088	
0.0242	1.10204E-5	
0.0243	0.000147575	
0.0244	0.000557237	
0.0245	0.000284129	
0.0246	0.000147575	
0.0247	0.000284129	
0.0248	0.000284129	
0.0249	-5.72567E-5	
0.025	7.92975E-5	
0.0251	0.000215852	
0.0252	0.00048896	
0.0253	0.000215852	
0.0254	0.000420683	
0.0255	1.10204E-5	
0.0256	0.000420683	
0.0257	0.000284129	
0.0258	-0.000125534	
0.0259	-5.72567E-5	
0.026	0.000215852	
0.0261	0.000693791	
0.0262	0.000420683	
0.0263	0.000420683	
0.0264	0.000215852	
0.0265	0.000352406	
0.0266	0.000420683	
0.0267	0.000215852	
0.0268	0.000284129	
0.0269	-0.000193811	
0.027	1.10204E-5	
0.0271	0.000284129	
0.0272	1.10204E-5	
0.0273	0.000215852	
0.0274	0.000420683	
0.0275	0.000352406	
0.0276	0.000215852	
0.0277	0.000284129	
0.0278	7.92975E-5	
0.0279	0.000352406	
0.028	0.000284129	
0.0281	0.000147575	
0.0282	0.000352406	
0.0283	0.000352406	
0.0284	0.000420683	
0.0285	0.000420683	
0.0286	-5.72567E-5	
0.0287	0.000284129	
0.0288	7.92975E-5	
0.0289	0.000420683	
0.029	0.000284129	
0.0291	0.000420683	
0.0292	0.000352406	
0.0293	0.000147575	
0.0294	0.000215852	
0.0295	0.000352406	
0.0296	-5.72567E-5	
0.0297	0.000147575	
0.0298	7.92975E-5	
0.0299	0.000147575	
0.03	0.000352406	
0.0301	-5.72567E-5	
0.0302	0.000284129	
0.0303	0.000147575	
0.0304	0.000420683	
0.0305	0.000215852	
0.0306	0.000284129	
0.0307	0.000215852	
0.0308	0.000215852	
0.0309	0.000147575	
0.031	0.000284129	
0.0311	1.10204E-5	
0.0312	0.000352406	
0.0313	0.000284129	
0.0314	0.000420683	
0.0315	0.000215852	
0.0316	0.000420683	
0.0317	0.000284129	
0.0318	0.000284129	
0.0319	0.000352406	
0.032	0.000147575	
0.0321	7.92975E-5	
0.0322	0.000147575	
0.0323	0.000420683	
0.0324	0.000215852	
0.0325	0.000284129	
0.0326	1.10204E-5	
0.0327	0.000215852	
0.0328	0.000284129	
0.0329	7.92975E-5	
0.033	7.92975E-5	
0.0331	0.000215852	
0.0332	0.000420683	
0.0333	-0.000193811	
0.0334	0.00048896	
0.0335	7.92975E-5	
0.0336	-0.000125534	
0.0337	0.000420683	
0.0338	0.00048896	
0.0339	0.000352406	
0.034	0.000352406	
0.0341	0.000147575	
0.0342	0.000625514	
0.0343	0.00048896	
0.0344	0.000215852	
0.0345	1.10204E-5	
0.0346	0.000215852	
0.0347	0.000284129	
0.0348	0.000625514	
0.0349	-5.72567E-5	
0.035	0.000693791	
0.0351	1.10204E-5	
0.0352	0.000215852	
0.0353	0.000420683	
0.0354	0.000147575	
0.0355	0.000284129	
0.0356	0.000215852	
0.0357	0.000147575	
0.0358	0.000284129	
0.0359	0.000284129	
0.036	0.000420683	
0.0361	0.000762068	
0.0362	0.000352406	
0.0363	0.000147575	
0.0364	0.000284129	
0.0365	0.000625514	
0.0366	-0.000330365	
0.0367	0.000284129	
0.0368	0.000215852	
0.0369	7.92975E-5	
0.037	0.000352406	
0.0371	0.000284129	
0.0372	0.000215852	
0.0373	0.000215852	
0.0374	0.000420683	
0.0375	0.000352406	
0.0376	0.000215852	
0.0377	0.000352406	
0.0378	0.000147575	
0.0379	1.10204E-5	
0.038	0.000147575	
0.0381	-5.72567E-5	
0.0382	0.000352406	
0.0383	7.92975E-5	
0.0384	0.000284129	
0.0385	7.92975E-5	
0.0386	0.000420683	
0.0387	1.10204E-5	
0.0388	0.000215852	
0.0389	0.000352406	
0.039	0.000215852	
0.0391	0.000147575	
0.0392	7.92975E-5	
0.0393	0.00048896	
0.0394	0.000352406	
0.0395	0.000215852	
0.0396	0.000147575	
0.0397	0.000420683	
0.0398	0.000420683	
0.0399	0.000147575	
0.04	0.000147575	
0.0401	0.000420683	
0.0402	0.000147575	
0.0403	0.000420683	
0.0404	0.000284129	
0.0405	-0.000125534	
0.0406	0.000420683	
0.0407	0.000215852	
0.0408	-5.72567E-5	
0.0409	0.000284129	
0.041	0.000352406	
0.0411	0.000352406	
0.0412	0.000420683	
0.0413	0.000352406	
0.0414	0.000352406	
0.0415	0.000420683	
0.0416	0.000420683	
0.0417	7.92975E-5	
0.0418	0.00048896	
0.0419	0.000215852	
0.042	0.000557237	
0.0421	-5.72567E-5	
0.0422	0.000215852	
0.0423	0.00048896	
0.0424	0.000420683	
0.0425	0.000625514	
0.0426	0.000352406	
0.0427	1.10204E-5	
0.0428	0.000284129	
0.0429	0.00048896	
0.043	0.000215852	
0.0431	0.000352406	
0.0432	0.000284129	
0.0433	7.92975E-5	
0.0434	0.000352406	
0.0435	0.000215852	
0.0436	0.000352406	
0.0437	0.000352406	
0.0438	0.000147575	
0.0439	7.92975E-5	
0.044	0.000420683	
0.0441	0.000420683	
0.0442	7.92975E-5	
0.0443	0.000352406	
0.0444	0.000215852	
0.0445	0.000420683	
0.0446	0.000352406	
0.0447	0.000557237	
0.0448	0.000147575	
0.0449	0.000284129	
0.045	0.000284129	
0.0451	0.000215852	
0.0452	0.000284129	
0.0453	0.000215852	
0.0454	0.000420683	
0.0455	0.000215852	
0.0456	-0.000125534	
0.0457	0.000284129	
0.0458	7.92975E-5	
0.0459	0.000215852	
0.046	0.000420683	
0.0461	0.000352406	
0.0462	0.000284129	
0.0463	0.000420683	
0.0464	0.000352406	
0.0465	0.000215852	
0.0466	0.00048896	
0.0467	0.000284129	
0.0468	7.92975E-5	
0.0469	0.000215852	
0.047	0.000284129	
0.0471	0.000284129	
0.0472	0.00048896	
0.0473	0.000625514	
0.0474	0.000557237	
0.0475	0.000284129	
0.0476	0.000215852	
0.0477	0.000352406	
0.0478	0.000147575	
0.0479	7.92975E-5	
0.048	-5.72567E-5	
0.0481	7.92975E-5	
0.0482	-0.000125534	
0.0483	0.000147575	
0.0484	0.000284129	
0.0485	0.000284129	
0.0486	0.000352406	
0.0487	0.000215852	
0.0488	0.000420683	
0.0489	0.000352406	
0.049	0.000352406	
0.0491	0.000215852	
0.0492	7.92975E-5	
0.0493	0.00048896	
0.0494	-5.72567E-5	
0.0495	0.000420683	
0.0496	0.000147575	
0.0497	0.000215852	
0.0498	-5.72567E-5	
0.0499	0.00048896	
0.05	0.000420683	
0.0501	0.000420683	
0.0502	0.000352406	
0.0503	0.000147575	
0.0504	0.000284129	
0.0505	0.000147575	
0.0506	0.000420683	
0.0507	0.000420683	
0.0508	0.000420683	
0.0509	0.000420683	
0.051	0.000215852	
0.0511	0.000215852	
0.0512	0.000420683	
0.0513	0.000352406	
0.0514	0.000215852	
0.0515	0.000215852	
0.0516	0.000284129	
0.0517	0.000284129	
0.0518	0.000215852	
0.0519	-5.72567E-5	
0.052	0.000215852	
0.0521	-0.000193811	
0.0522	0.000352406	
0.0523	7.92975E-5	
0.0524	0.000284129	
0.0525	0.000284129	
0.0526	0.000147575	
0.0527	0.000352406	
0.0528	0.000215852	
0.0529	0.00048896	
0.053	0.000147575	
0.0531	0.000420683	
0.0532	0.000420683	
0.0533	-0.000193811	
0.0534	0.000147575	
0.0535	0.000352406	
0.0536	-0.000125534	
0.0537	0.000420683	
0.0538	0.000830345	
0.0539	0.000284129	
0.054	-5.72567E-5	
0.0541	0.000352406	
0.0542	0.000420683	
0.0543	7.92975E-5	
0.0544	0.000420683	
0.0545	0.000420683	
0.0546	0.00048896	
0.0547	0.000147575	
0.0548	7.92975E-5	
0.0549	0.000147575	
0.055	-0.000125534	
0.0551	0.000352406	
0.0552	0.000352406	
0.0553	0.000352406	
0.0554	1.10204E-5	
0.0555	0.000420683	
0.0556	0.000284129	
0.0557	-5.72567E-5	
0.0558	7.92975E-5	
0.0559	0.000147575	
0.056	0.000693791	
0.0561	0.000352406	
0.0562	0.000352406	
0.0563	0.000352406	
0.0564	0.000625514	
0.0565	1.10204E-5	
0.0566	7.92975E-5	
0.0567	0.000352406	
0.0568	0.000352406	
0.0569	-0.000125534	
0.057	0.00048896	
0.0571	0.00048896	
0.0572	7.92975E-5	
