Frequency (Hz) - Left Channel (Power Spectrum)	Amplitude - Left Channel (Power Spectrum)	Frequency (Hz) - Right Channel (Power Spectrum)	Amplitude - Right Channel (Power Spectrum)	
869.333333	3.35364E-7	869.333333	1.4733E-6	
872	1.17225E-6	872	2.11194E-6	
874.666667	9.55834E-7	874.666667	1.40111E-5	
877.333333	4.29957E-6	877.333333	2.06328E-6	
880	3.13101E-6	880	1.01504E-6	
882.666667	1.07214E-6	882.666667	1.30447E-6	
885.333333	6.49145E-7	885.333333	4.28999E-7	
888	1.03125E-6	888	4.02594E-8	
890.666667	1.77214E-7	890.666667	3.84309E-7	
893.333333	4.02232E-7	893.333333	9.76912E-8	
896	3.40247E-8	896	5.12284E-7	
898.666667	1.04974E-7	898.666667	1.5842E-7	
901.333333	4.79401E-7	901.333333	4.57034E-7	
904	9.79286E-8	904	5.03718E-8	
906.666667	6.34792E-7	906.666667	1.91865E-7	
909.333333	1.42127E-7	909.333333	2.34779E-8	
912	1.15964E-7	912	2.93803E-8	
914.666667	1.00546E-7	914.666667	4.01178E-9	
917.333333	4.3155E-8	917.333333	2.33608E-8	
920	1.86738E-7	920	1.01851E-7	
922.666667	2.19882E-8	922.666667	1.00961E-7	
925.333333	1.55619E-8	925.333333	1.99737E-7	
928	1.49726E-7	928	1.96274E-7	
930.666667	1.03772E-7	930.666667	8.35672E-8	
933.333333	2.15342E-8	933.333333	3.6399E-8	
936	3.52019E-8	936	9.46984E-8	
938.666667	7.89531E-8	938.666667	5.81426E-8	
941.333333	2.11548E-7	941.333333	1.73994E-7	
944	2.23734E-7	944	1.48785E-7	
946.666667	3.47413E-7	946.666667	3.46855E-7	
949.333333	7.54319E-7	949.333333	2.30873E-7	
952	1.05729E-7	952	4.09501E-7	
954.666667	1.16445E-7	954.666667	3.02226E-8	
957.333333	7.65017E-8	957.333333	2.19773E-7	
960	5.74042E-7	960	3.46138E-7	
962.666667	1.76343E-8	962.666667	3.39856E-7	
965.333333	9.27655E-8	965.333333	3.55215E-7	
968	3.04853E-7	968	1.57493E-6	
970.666667	4.42527E-7	970.666667	2.40527E-6	
973.333333	4.5317E-7	973.333333	1.04753E-6	
976	5.70588E-6	976	4.98297E-6	
978.666667	3.41712E-6	978.666667	5.17088E-6	
981.333333	7.33252E-6	981.333333	1.21032E-6	
984	3.86984E-6	984	2.83027E-6	
986.666667	1.06349E-5	986.666667	3.29174E-6	
989.333333	4.9498E-6	989.333333	2.99094E-6	
992	5.17667E-6	992	6.46977E-6	
994.666667	1.72924E-6	994.666667	1.41732E-5	
997.333333	7.63433E-6	997.333333	8.23018E-6	
1000	8.11378E-7	1000	7.33566E-7	
1002.666667	1.18359E-6	1002.666667	1.01658E-6	
1005.333333	2.33564E-6	1005.333333	1.96562E-7	
1008	6.00987E-7	1008	2.12807E-6	
1010.666667	7.65641E-7	1010.666667	9.24743E-7	
1013.333333	3.30866E-7	1013.333333	1.16914E-6	
1016	4.75765E-7	1016	1.06391E-6	
1018.666667	1.17523E-7	1018.666667	1.86654E-7	
1021.333333	2.06713E-7	1021.333333	9.33217E-8	
1024	4.44347E-8	1024	1.16638E-7	
1026.666667	1.96408E-7	1026.666667	2.04782E-7	
1029.333333	2.28437E-7	1029.333333	5.92014E-8	
1032	1.3926E-7	1032	2.16556E-7	
1034.666667	1.15118E-7	1034.666667	9.38015E-7	
1037.333333	1.2775E-7	1037.333333	7.12571E-8	
1040	5.94364E-8	1040	1.36334E-7	
1042.666667	3.58945E-8	1042.666667	2.45766E-7	
1045.333333	1.67116E-7	1045.333333	1.3651E-7	
1048	1.2948E-7	1048	9.57717E-8	
1050.666667	1.61009E-7	1050.666667	9.68518E-8	
1053.333333	2.39899E-7	1053.333333	5.34454E-8	
1056	7.12323E-8	1056	2.58784E-7	
1058.666667	7.86845E-8	1058.666667	3.12935E-7	
1061.333333	1.3658E-7	1061.333333	1.74505E-8	
1064	3.93381E-8	1064	7.65197E-8	
1066.666667	1.33453E-7	1066.666667	1.729E-6	
1069.333333	7.33312E-7	1069.333333	1.14073E-6	
1072	4.72207E-7	1072	5.26765E-7	
1074.666667	4.87455E-7	1074.666667	3.82366E-8	
1077.333333	1.53586E-7	1077.333333	2.53885E-7	
1080	5.16368E-7	1080	6.55215E-8	
1082.666667	4.5939E-7	1082.666667	1.40551E-7	
1085.333333	1.17472E-6	1085.333333	3.88958E-7	
1088	2.26709E-7	1088	9.70142E-7	
1090.666667	1.15354E-6	1090.666667	7.85903E-7	
1093.333333	7.95514E-7	1093.333333	2.46318E-7	
1096	2.03442E-7	1096	5.9836E-8	
1098.666667	9.0805E-7	1098.666667	6.82398E-7	
1101.333333	7.59492E-7	1101.333333	1.64028E-7	
1104	1.22014E-6	1104	9.75411E-7	
1106.666667	6.38872E-7	1106.666667	2.06223E-6	
1109.333333	2.8869E-6	1109.333333	4.11379E-6	
1112	5.66136E-7	1112	2.82271E-7	
1114.666667	8.49349E-8	1114.666667	7.92314E-8	
1117.333333	4.17771E-7	1117.333333	1.16612E-6	
1120	1.35978E-7	1120	4.70481E-7	
1122.666667	8.33217E-7	1122.666667	5.94755E-7	
1125.333333	6.5944E-9	1125.333333	2.80985E-8	
1128	4.83296E-7	1128	3.80652E-7	
1130.666667	1.82486E-8	1130.666667	1.52361E-7	
1133.333333	1.17557E-8	1133.333333	1.53105E-7	
1136	2.71645E-8	1136	4.37786E-8	
1138.666667	1.26287E-7	1138.666667	8.16428E-8	
1141.333333	1.08687E-6	1141.333333	3.0805E-7	
1144	7.90832E-7	1144	7.52735E-8	
1146.666667	8.20475E-7	1146.666667	8.01008E-7	
1149.333333	4.82524E-7	1149.333333	6.26118E-7	
1152	2.3316E-7	1152	4.6499E-7	
1154.666667	1.72539E-6	1154.666667	4.62017E-6	
1157.333333	1.12778E-6	1157.333333	2.24156E-6	
1160	5.61807E-7	1160	4.50182E-7	
1162.666667	1.77739E-7	1162.666667	2.22566E-7	
1165.333333	1.69228E-6	1165.333333	1.20158E-6	
1168	4.43269E-7	1168	1.01392E-6	
1170.666667	4.67367E-7	1170.666667	3.97083E-7	
1173.333333	1.8376E-7	1173.333333	3.07497E-7	
1176	9.16274E-8	1176	5.39839E-7	
1178.666667	4.9508E-7	1178.666667	4.74004E-8	
1181.333333	6.41506E-7	1181.333333	1.2544E-7	
